Landslide_ID,Camp_name,Latitude,Longitude,Elevation (m),Date_of_movement,General_slope (degree),Slided_slope (degree),Width (m),Length_prev (m),Length_after (m),Depth (m),Material,Movement_type,State,Distribution,Style,Flow_accumulation_10yr_multiplied_log,Flow_accumulation_20yr_multiplied_log,Flow_accumulation_50yr_multiplied_log,Slope_classification,Flow_direction,Runoff_10yr,Runoff_20yr,Runoff_50yr,Fill_sinks,Basins,Landslide_Occurred
81,10,21.188969,92.153565,10.0,2020,21.0,40.0,30.0,32.0,25.0,10.0,Soil or Earth,Slide,Dormant,"Advancing, Enlarging",Successive,6.038248472703492,6.12021058852713,6.223774424440022,2.0,3.0,1328.79541015625,1604.7974853515625,2036.9674072265625,29.0,371.0,1
82,10,21.188928,92.15589,4.2,2020,20.0,45.0,20.0,12.2,8.0,4.2,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,6.038248472703492,6.12021058852713,6.223774424440022,1.0,2.0,1328.79541015625,1604.7974853515625,2036.9674072265625,23.0,371.0,1
83,10,21.189414,92.154805,4.5,2017,17.0,40.0,20.0,15.2,10.1,4.5,Soil or Earth,Slide,Dormant,Confined,Complex,6.515369705920962,6.597331821744598,6.700895646731704,1.0,5.0,1328.79541015625,1604.7974853515625,2036.9674072265625,24.0,371.0,1
84,10,21.189903,92.154987,14.9,2020,13.0,44.0,20.0,35.0,30.0,14.9,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,6.038248472703492,6.12021058852713,6.223774424440022,1.0,4.0,1328.79541015625,1604.7974853515625,2036.9674072265625,27.0,371.0,1
85,10,21.190152,92.155039,5.9,2020,14.0,42.0,12.0,14.0,12.0,5.9,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,6.038248472703492,6.12021058852713,6.223774424440022,1.0,0.0,1328.79541015625,1604.7974853515625,2036.9674072265625,26.0,371.0,1
86,10,21.187066,92.152565,8.0,2020,50.0,60.0,25.0,10.4,17.0,8.0,Soil or Earth,Complex,Active,Advancing,Successive,6.515369705920962,6.7222705476018,6.825834383340004,1.0,3.0,1328.79541015625,1604.7974853515625,2036.9674072265625,19.0,371.0,1
87,10,21.186741,92.153447,18.0,2020,38.0,60.0,80.0,29.2,27.0,18.0,Soil or Earth,Slide,Active,Advancing,Successive,6.339278468367474,6.12021058852713,6.223774424440022,1.0,2.0,1328.79541015625,1604.7974853515625,2036.9674072265625,16.0,371.0,1
88,10,21.187277,92.155118,8.0,2020,35.0,60.0,25.0,13.9,15.0,8.0,Soil or Earth,Complex,Active,Advancing,Successive,6.515369705920962,6.597331821744598,6.700895646731704,2.0,4.0,1328.79541015625,1604.7974853515625,2036.9674072265625,16.0,371.0,1
89,11,21.183062,92.158429,4.6,2020,14.0,40.0,22.6,10.7,9.6,4.6,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,6.528913464934628,6.608968506309932,6.710441948755598,1.0,0.0,1370.8876953125,1648.37841796875,2082.238037109375,12.0,371.0,1
90,11,21.183536,92.158118,14.9,2020,15.0,85.0,25.0,15.1,5.6,14.9,Debris,Fall,Active,Enlarging,Successive,6.502083391230894,6.585902718062922,6.69150655651826,1.0,0.0,1288.75927734375,1563.11572265625,1993.40234375,8.0,371.0,1
