FID,OBJECTID,Location,State,Water_Cont,Material,Damae_Int2,Economic,District,ID,Fail_Type,Date,Distri_,Death_,Settlemet_,Dam_Int1,Area,Triggers_
451,452,"Kaptai Ansar Camp, Rangamati",Active,Wet,Mixture,Low,Low,Rangamati,452,Fall,13/06/2017,Advancing,0,0,Nil,40,Rainfall and Hill Cutting
452,453,"Boroichari Market, Marma Para, Kaptai",Active,Wet,Debris,Low,Low,Rangamati,453,Flow,13/06/2017,Advancing,0,0,Nil,276,Rainfall
453,454,"Panaroma Restaurent, Kaptai",Active,Wet,Mixture,Medium,Medium,Rangamati,454,Flow,13/06/2017,Advancing,0,0,Nil,59,Rainfall and Road Cut
454,455,"Panaroma Restaurent, Kaptai",Active,Wet,Soil,Low,Low,Rangamati,455,Flow,13/06/2017,Advancing,0,0,Nil,69,Rianfall
455,456,"Boroichari Sarbojanin Buddisht Temple, Kaptai",Active,Wet,Soil,Low,Low,Rangamati,456,Flow,13/06/2017,Advancing,0,0,Nil,2001,Rainfall
456,457,"Shilchari, Ansar Camp, Kaptai",Active,Wet,Debris,Low,Low,Rangamati,457,Flow,13/06/2017,Advancing,0,0,Nil,70,Rainfall
457,458,"Boroichari Market, Marma Para, Kaptai",Active,Wet,Debris,Low,Medium,Rangamati,458,Flow,13/06/2017,Advancing,0,2,Medium,32,Rainfall
458,459,"Shilchari, Wagha, Kaptai",Active,Wet,Debris,High,Medium,Rangamati,459,Flow,13/06/2017,Advancing,0,0,Nil,66,Rainfall and Road Cut
459,460,Kaptai National Park,Active,Wet,Debris,Low,Low,Rangamati,460,Flow,13/06/2017,Advancing,0,0,Nil,34,Rainfall
460,461,"Bangchari, Marmapara, Kaptai",Active,Wet,Debris,Low,Low,Rangamati,461,Flow,13/06/2017,Advancing,0,0,Nil,115,Rainfall
461,462,"Bangchari, Marmapara, Kaptai",Active,Wet,Debris,Low,Low,Rangamati,462,Flow,13/06/2017,Advancing,0,0,Nil,20,Rainfall
462,463,"Shilchari, Wagha, Kaptai",Active,Wet,Debris,Low,Low,Rangamati,463,Flow,13/06/2017,Advancing,0,0,Nil,96,Rainfall
463,464,"Shilchari, Wagha, Kaptai",Active,Wet,Debris,Low,Low,Rangamati,464,Flow,13/06/2017,Advancing,0,0,Nil,43,Rainfall
464,465,"Assam Basti Vanga Road, Kaptai",Active,Wet,Soil,Low,Low,Rangamati,465,Flow,13/06/2017,Advancing,0,1,Low,908,Rainfall
465,466,"Assam Basti Vanga Road, Kaptai",Active,Wet,Soil,Nil,Low,Rangamati,466,Flow,13/06/2017,Advancing,0,0,Low,1029,Rainfall
466,467,"Assam Basti Vanga Road, Kaptai",Active,Wet,Debris,Nil,Low,Rangamati,467,Complex,13/06/2017,Advancing,0,0,Nil,973,Rainfall
467,468,"Assam Basti Vanga Road, Kaptai",Active,Wet,Debris,Nil,Low,Rangamati,468,Flow,13/06/2017,Advancing,0,1,Low,340,Rainfall
468,469,"Assam Basti Vanga Road, Kaptai",Active,Wet,Debris,Nil,Low,Rangamati,469,Flow,13/06/2017,Advancing,0,0,Nil,443,Rainfall
469,470,"Assam Basti Vanga Road, Kaptai",Active,Wet,Mixture,Medium,Low,Rangamati,470,Flow,13/06/2017,Advancing,0,0,Nil,694,Rainfall and Road Cut
470,471,"Assam Basti Vanga Road, Kaptai",Active,Wet,Debris,Nil,Low,Rangamati,471,Flow,13/06/2017,Advancing,0,0,Nil,413,Rainfall
471,472,"Kamilachari Para, Kaptai",Active,Wet,Debris,Nil,Low,Rangamati,472,Flow,13/06/2017,Advancing,0,0,Nil,564,Rainfall
472,473,"Kamilachari Para, Kaptai",Active,Wet,Soil,Nil,Low,Rangamati,473,Flow,13/06/2017,Advancing,0,0,Nil,61,Rainfall
473,474,Mogban Smriti Temple,Active,Wet,Mixture,High,High,Rangamati,474,Complex,13/06/2017,Advancing,0,0,Nil,55,Rainfall and Hill Cutting
474,475,"Kamilachari Para, Kaptai",Active,Wet,Debris,Nil,Low,Rangamati,475,Flow,13/06/2017,Advancing,0,0,Nil,59,Rainfall
475,476,"Kamilachari Para, Kaptai",Active,Wet,Debris,Nil,Low,Rangamati,476,Fall,13/06/2017,Advancing,0,0,Nil,29,Rainfall
476,477,Mogban Union Health Center,Active,Wet,Debris,Nil,Low,Rangamati,477,Fall,13/06/2017,Advancing,0,1,Low,167,Rainfall
477,478,"Assam Basti Vanga Road, Kaptai",Active,Wet,Debris,Nil,Low,Rangamati,478,Slide,13/06/2017,Advancing,0,0,Nil,695,Rainfall
478,479,Chittagong University, , , ,Nil,Low,Chittagong,479,Topple,2005, ,0,0,Nil,220,Rainfall
479,480,Chittagong University,Stabilized,Dry,Soil,Nil,Low,Chittagong,480,Flow,01/01/2015,Advancing,0,0,Nil,70,Rainfall
480,481, , , , , , ,Chittagong,481,Unrecognized,01/01/2015, ,0,0, ,947, 
481,482, , , , , , ,Chittagong,482,Topple,01/01/2016, ,0,0, ,3368, 
482,483, , , , , , ,Chittagong,483,Topple,2016, ,0,0, ,5073, 
483,484, , , , , , ,Chittagong,484,Complex,2016, ,0,0, ,4377, 
484,485, , , , , , ,Chittagong,485,Slide,2016, ,0,0, ,647, 
485,486, , , , , , ,Chittagong,486,Slide,2016, ,0,0, ,2381, 
486,487, , , , , , ,Chittagong,487,Slide,2014, ,0,0, ,993, 
487,488, , , , , , ,Chittagong,488,Slide,2014, ,0,0, ,69, 
488,489, , , , , , ,Chittagong,489,Unrecognized,2014, ,0,0, ,2293, 
489,490, , , , , , ,Chittagong,490,Unrecognized,2016, ,0,0, ,1331, 
490,491, , , , , , ,Chittagong,491,Unrecognized,2015, ,0,0, ,700, 
491,492, , , , , , ,Chittagong,492,Unrecognized,2016, ,0,0, ,426, 
492,493, , , , , , ,Chittagong,493,Unrecognized,2006, ,0,0, ,3383, 
493,494, , , , , , ,Chittagong,494,Unrecognized,2013, ,0,0, ,340, 
494,495, , , , , , ,Chittagong,495,Unrecognized,2014, ,0,0, ,243, 
