Landslide_ID,Camp_name,Latitude,Longitude,Elevation (m),Date_of_movement,General_slope (degree),Slided_slope (degree),Width (m),Length_prev (m),Length_after (m),Depth (m),Material,Movement_type,State,Distribution,Style,,,,,,,,,,,,,,,
92,11,21.183886,92.156026,5.40,2020,15,42,16.5,14.0,11.0,5.4,Soil or Earth,Complex,Active,"Advancing, Enlarging, Widening",Composite,,,,,,,,,,,,,,,
93,11,21.183685,92.155411,6.10,2020,12,60,9.0,18.5,8.0,6.1,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,
94,11,21.183142,92.155124,3.80,2020,15,40,16.0,10.0,8.0,3.8,Soil or Earth,Topple,Active,"Advancing, Enlarging, Widening",Successive,,,,,,,,,,,,,,,
95,11,21.181876,92.154261,8.00,2020,50,65,45.0,10.4,20.0,8.0,Soil or Earth,Complex,Active,Advancing,Successive,,,,,,,,,,,,,,,
96,11,21.181407,92.154358,5.00,2018,30,85,30.0,10.0,15.0,5.0,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,
97,11,21.181630,92.156905,12.00,2018,30,70,25.0,24.0,20.0,12.0,Soil or Earth,Slide,Suspended,Advancing,Successive,,,,,,,,,,,,,,,
98,5,21.204209,92.150840,4.00,2020,24,34,18.0,12.1,9.0,4.0,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,,,,,,,,,,,,,,,
99,5,21.205119,92.150696,5.10,2020,20,34,10.0,15.5,13.5,5.1,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,
100,5,21.205689,92.150533,2.80,2020,20,46,12.0,7.0,4.0,2.8,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,,,,,,,,,,,,,,,
101,5,21.205267,92.151181,7.60,2020,18,32,15.0,18.0,16.0,7.6,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,
102,5,21.205371,92.152756,7.00,2020,45,60,10.5,12.5,9.5,7.0,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,,,,,,,,,,,,,,,
103,5,21.205484,92.153359,3.50,2020,18,48,10.0,8.0,6.0,3.5,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,
104,5,21.199011,92.148385,8.00,2020,45,65,25.0,11.3,15.0,8.0,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,
105,5,21.198138,92.148305,14.00,2020,42,35,30.0,20.9,22.0,14.0,Soil or Earth,Complex,Active,Advancing,Successive,,,,,,,,,,,,,,,
106,8W,21.194538,92.151599,4.50,2020,26,85,10.0,8.0,6.0,4.5,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,
107,8W,21.194354,92.151665,10.50,2020,32,80,15.0,13.0,10.0,10.5,Soil or Earth,Slide,Active,"Advancing, Widening",Successive,,,,,,,,,,,,,,,
108,8W,21.194675,92.152502,5.10,2018,24,40,24.0,12.5,11.0,5.1,Soil or Earth,Slide,Active,"Advancing, Widening",Successive,,,,,,,,,,,,,,,
109,8W,21.195246,92.153204,2.00,2020,20,40,10.0,8.0,5.0,2.0,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,
110,8W,21.196417,92.152976,3.50,2020,20,40,8.0,8.5,5.0,3.5,Soil or Earth,Fall,Active,Widening,Successive,,,,,,,,,,,,,,,
111,8W,21.194414,92.151099,3.10,2020,25,70,15.0,5.6,4.0,3.1,Soil or Earth,Slide,Active,"Advancing, Widening",Successive,,,,,,,,,,,,,,,
112,8W,21.195442,92.150112,9.00,2020,46,52,28.0,12.5,17.0,9.0,Soil or Earth,Complex,Active,Advancing,Successive,,,,,,,,,,,,,,,
113,8W,21.192208,92.151077,4.00,2020,34,59,20.0,7.2,9.0,4.0,Soil or Earth,Spread/Creep,Active,"Advancing, Widening",Successive,,,,,,,,,,,,,,,
114,8W,21.192208,92.151077,4.00,2020,36,50,20.0,6.8,9.0,4.0,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,
