fid,fid_new1,fclass,name,maxspeed,length,combined_id_min,combined_id_max,DN_mean,time_needed (min)
"111","111",residential,,"10","19.0183977210652","428","432","8","0.114110386326391"
"112","112",residential,,"10","42.5710796157431","432","52436","7","0.255426477694459"
"113","113",residential,,"10","66.0280113852509","51539","52436","6","0.396168068311505"
"114","114",residential,,"10","21.8966882266457","444","51539","6.5","0.131380129359874"
"115","115",residential,,"10","21.6340573183189","444","45689","7","0.129804343909913"
"116","116",residential,,"10","15.2273450561124","453","45689","7","0.0913640703366744"
"117","117",residential,,"10","22.5797215401589","453","456","6.5","0.135478329240953"
"118","118",residential,,"10","16.2186274767094","456","45699","7","0.0973117648602564"
"119","119",residential,,"10","41.192159332418","45693","45699","6.5","0.247152955994508"
"120","120",residential,,"10","13.1606887018345","45693","468","6","0.0789641322110071"
"121","121",residential,,"10","16.5193785126948","468","473","7","0.0991162710761689"
"122","122",residential,,"10","59.3868400653891","473","477","7","0.356321040392335"
"123","123",residential,,"10","28.8584035001303","476","477","7","0.173150421000782"
"124","124",residential,,"10","30.5023538928395","476","479","6.5","0.183014123357037"
"125","125",residential,,"10","48.5826842630666","479","488","6.5","0.2914961055784"
"126","126",residential,,"10","155.922915810753","488",CXB-201_D004 _04,"6.333333","0.935537494864517"
"127","127",residential,,"10","155.922915810753","2553",CXB-201_D004 _04,"6","0.935537494864517"
"134","134",residential,,"10","232.863183559525","48732","516","6.5","1.39717910135715"
"135","135",residential,,"10","228.634596792403","48732","521","6.5","1.37180758075442"
"136","136",path,,"10","121.776284497941","525",CXB-201_C003 _01,"6","0.730657706987647"
"137","137",path,,"10","121.776284497941","527",CXB-201_C003 _01,"6","0.730657706987647"
"138","138",path,,"10","10.7653219154304","2572","532","7","0.0645919314925826"
"139","139",path,,"10","89.1558316630516","532","536","6.5","0.53493498997831"
"140","140",path,,"10","3.87632056789958","536","540","6","0.0232579234073975"
"141","141",path,,"10","134.203316353439","540","541","6.5","0.805219898120633"
"142","142",path,,"10","8.78848293486539","541","548","7","0.0527308976091923"
"143","143",path,,"10","51.1466801138353","46041","548","7","0.306880080683012"
"144","144",path,,"10","52.8150687694628","46041","553","6.5","0.316890412616777"
"145","145",unclassified,,"10","197.62201181835","560","63162","6","1.1857320709101"
"150","150",unclassified,,"10","89.921986062099","571","572","6","0.539531916372594"
"157","157",path,,"10","130.270000247015","3049","592","6.5","0.78162000148209"
"158","158",path,,"10","185.372323494246","592","596","6","1.11223394096548"
"159","159",path,,"10","34.3753338824295","596","600","6","0.206252003294577"
"160","160",path,,"10","31.7269644789042","600","605","6.5","0.190361786873425"
"161","161",path,,"10","74.955162124047","604","605","6.5","0.449730972744282"
"164","164",path,,"10","9.10578911520233","613","617","6","0.054634734691214"
"165","165",path,,"10","61.2897769517462","617","622","6","0.367738661710477"
"166","166",path,,"10","81.3377848402672","622","629","6","0.488026709041603"
"169","169",path,,"10","151.179318803207","633","637","6.666667","0.907075912819244"
"181","181",path,,"10","1.01996005783732","676","677","7","0.00611976034702393"
"182","182",path,,"10","81.3700590852714","677",CXB-207_D050 _04,"6.666667","0.488220354511628"
"183","183",path,,"10","81.3700590852714","681",CXB-207_D050 _04,"7","0.488220354511628"
"184","184",path,,"10","111.251774197053","681","688","7","0.667510645182319"
"185","185",path,,"10","25.8366471232153","54665","688","7","0.155019882739292"
"186","186",path,,"10","13.7803270090931","50707","54665","7.5","0.0826819620545584"
"187","187",path,,"10","122.474257206735","58397","696","6.5","0.734845543240411"
"188","188",path,,"10","95.9914170761562","58397","705","6.5","0.575948502456937"
"189","189",path,,"10","10.6626462611894","52633","705","7","0.0639758775671366"
"190","190",path,,"10","49.4174392394622","52633","712","7","0.296504635436773"
"191","191",path,,"10","34.5180839263318","712","716","7","0.207108503557991"
"192","192",path,,"10","117.296447184861","716","720","6.5","0.703778683109166"
"193","193",path,,"10","9.62957913953691","720","721","6","0.0577774748372214"
