roadID,node1,node2,node1_Xcoord,node1_Ycoord,node2_Xcoord,node2_Ycoord,DN_mean,length,isHealthcare1,isHealthcare2
16416,60352,60353,21.183431,92.155987,21.183409,92.155858,6.0,13.624,False,False
16418,60356,60357,21.183406,92.155831,21.183416,92.155786,7.0,4.797,False,False
16419,60360,60361,21.184376,92.142819,21.184335,92.14276,7.0,8.116,False,False
16420,45680,60361,21.184304,92.142744,21.184335,92.14276,7.0,3.76,False,False
16421,60365,60367,21.184368,92.142861,21.184302,92.14285,7.0,7.43,False,False
16422,60367,60369,21.184302,92.14285,21.184272,92.142842,7.0,3.499,False,False
16423,60369,60371,21.184272,92.142842,21.184216,92.142841,7.0,6.333,False,False
16425,52301,60376,21.18439,92.143394,21.184376,92.143348,7.0,5.042,False,False
16426,60375,60376,21.184335,92.14304,21.184376,92.143348,7.0,32.695,False,False
16430,60381,60383,21.199232,92.145545,21.199329,92.145186,6.5,39.298,False,False
16431,60393,60412,21.201286,92.145874,21.201295,92.14592,6.0,4.809,False,False
16432,60393,60396,21.201286,92.145874,21.201271,92.145828,6.0,5.076,False,False
16433,60396,60397,21.201271,92.145828,21.201213,92.145743,6.0,10.929,False,False
16434,60399,60401,21.201312,92.146483,21.201312,92.146341,6.0,15.161,False,False
16435,60401,60408,21.201312,92.146341,21.201323,92.146046,6.0,31.736,False,False
16436,60408,60413,21.201323,92.146046,21.201324,92.146027,6.0,1.893,False,False
16437,60412,60413,21.201295,92.14592,21.201324,92.146027,6.0,11.629,False,False
16438,60412,60415,21.201295,92.14592,21.200912,92.145839,6.0,46.542,False,False
16440,60420,60421,21.200918,92.146047,21.200695,92.146,6.0,25.473,False,False
16441,60413,60424,21.201324,92.146027,21.201497,92.145965,6.0,22.731,False,False
16442,60427,60437,21.199289,92.144038,21.199312,92.144311,6.5,30.517,False,False
16444,60433,60443,21.199306,92.144469,21.199308,92.144374,6.5,9.874,False,False
16445,60437,60443,21.199312,92.144311,21.199308,92.144374,6.0,6.54,False,False
16446,56332,60443,21.198576,92.143694,21.199308,92.144374,6.5,117.084,False,False
16448,60397,60447,21.201213,92.145743,21.200975,92.145628,6.0,29.351,False,False
16449,60447,60452,21.200975,92.145628,21.200911,92.145595,6.0,7.772,False,False
16450,53873,60452,21.200855,92.145527,21.200911,92.145595,6.0,9.445,False,False
16451,53873,60457,21.200855,92.145527,21.20076,92.145364,6.0,20.252,False,False
16452,60461,60464,21.200913,92.145858,21.200678,92.145932,6.0,30.416,False,False
16453,60465,60468,21.182494,92.157523,21.182123,92.157726,6.0,48.032,False,False
16454,60469,64096,21.182729,92.157889,21.182514,92.158023,6.0,33.121,False,True
16456,60281,60495,21.188638,92.135912,21.188655,92.135862,6.0,5.527,False,False
16457,60283,60298,21.188704,92.135881,21.188832,92.135815,6.0,15.753,False,False
16458,60480,60493,21.188288,92.136325,21.188275,92.136278,6.0,5.128,False,False
16459,60480,60485,21.188288,92.136325,21.188298,92.136376,6.0,5.344,False,False
16460,60485,64096,21.188298,92.136376,21.188428,92.136392,6.0,36.306,False,True
16461,56060,64096,21.188611,92.136462,21.188428,92.136392,6.0,36.306,False,True
16462,60280,60493,21.188301,92.136167,21.188275,92.136278,6.0,11.847,False,False
16464,60495,60496,21.188655,92.135862,21.188677,92.135769,6.0,9.993,False,False
16465,60497,60498,21.189085,92.134865,21.189038,92.13494,6.0,9.323,False,False
16466,60497,60501,21.189085,92.134865,21.189078,92.134735,7.0,37.355,False,False
16468,60309,60505,21.189533,92.136805,21.189425,92.136816,6.0,12.926,False,False
16474,60508,60510,21.189915,92.136057,21.189954,92.136017,7.0,6.046,False,False
16475,60508,60509,21.189915,92.136057,21.189847,92.136072,7.0,7.782,False,False
16476,60525,60526,21.189353,92.13544,21.18925,92.135357,6.5,14.31,False,False
16477,60498,60527,21.189038,92.13494,21.189222,92.135337,6.0,47.04,False,False
16478,60303,60521,21.189232,92.135607,21.189317,92.135587,7.0,9.982,False,False
16479,60524,60525,21.189377,92.135457,21.189353,92.13544,7.0,3.168,False,False
16480,60526,60527,21.18925,92.135357,21.189222,92.135337,6.0,3.756,False,False
16481,60529,60539,21.196867,92.134727,21.196972,92.134898,6.5,29.207,False,False
16482,60537,60540,21.197059,92.135256,21.197032,92.135167,7.0,9.699,False,False
16483,60535,60537,21.197359,92.135119,21.197059,92.135256,7.5,36.116,False,False
16484,60537,60538,21.197059,92.135256,21.196725,92.1354,6.5,39.898,False,False
16485,60539,60540,21.196972,92.134898,21.197032,92.135167,6.5,28.718,False,False
16486,60541,64096,21.195786,92.135669,21.195953,92.135535,6.0,87.631,False,True
16487,60553,64096,21.19649,92.135679,21.195953,92.135535,6.5,87.631,False,True
16488,60548,60553,21.196641,92.135489,21.19649,92.135679,6.5,28.495,False,False
16489,60538,60548,21.196725,92.1354,21.196641,92.135489,6.0,13.916,False,False
16491,52616,60555,21.198181,92.143976,21.197608,92.144052,6.0,65.537,False,False
16493,60561,60562,21.181316,92.157449,21.181486,92.157597,7.0,24.719,False,False
16497,60565,60568,21.196051,92.154859,21.196041,92.154858,6.0,1.118,False,False
16498,60567,60568,21.19598,92.154859,21.196041,92.154858,6.0,6.71,False,False
16499,60569,64096,21.195972,92.154862,21.195888,92.154395,6.0,59.658,False,True
16500,60573,64096,21.195883,92.154363,21.195888,92.154395,6.0,59.658,False,True
16501,53343,60577,21.196418,92.151033,21.196419,92.151081,6.0,5.435,False,False
16504,60581,60584,21.196379,92.152149,21.196247,92.152198,7.0,15.382,False,False
16505,60584,60585,21.196247,92.152198,21.196169,92.152262,7.0,11.175,False,False
16506,60585,60598,21.196169,92.152262,21.196194,92.152461,7.0,20.899,False,False
16507,60591,60593,21.196336,92.152948,21.196246,92.152557,6.0,43.43,False,False
16508,54461,60593,21.196202,92.152476,21.196246,92.152557,6.0,9.668,False,False
16509,54461,60598,21.196202,92.152476,21.196194,92.152461,6.5,1.846,False,False
