Landslide_ID,Latitude,Longitude,Flow_accumulation_10yr_multiplied_log,Flow_accumulation_20yr_multiplied_log,Flow_accumulation_50yr_multiplied_log,Slope_classification,Flow_direction,Runoff_10yr,Runoff_20yr,Runoff_50yr,Fill_sinks,Basins,Landslide_Occurred,intersects_buildings,GLG
267,21.203587,92.164094,6.024962158013426,6.108781484845452,6.214385312844158,1.0,1.0,1288.75927734375,1563.11572265625,1993.40234375,15.070759773254396,459.0,0,0,Tt
270,21.20519,92.16608,6.024962158013426,6.108781484845452,6.214385312844158,1.0,0.0,1288.75927734375,1563.11572265625,1993.40234375,20.0,459.0,0,0,Tt
271,21.205242,92.167735,7.138905485510038,6.585902718062922,6.69150655651826,1.0,2.0,1288.75927734375,1563.11572265625,1993.40234375,15.0,611.0,0,0,Tt
272,21.204859,92.166371,6.024962158013426,6.108781484845452,6.214385312844158,1.0,2.0,1288.75927734375,1563.11572265625,1993.40234375,18.0,459.0,0,1,Tt
273,21.20412,92.16825,6.723932149448128,6.807751476280156,6.913355297298166,1.0,4.0,1288.75927734375,1563.11572265625,1993.40234375,16.0,459.0,0,1,Tt
274,21.205421,92.169015,6.024962158013426,6.108781484845452,6.214385312844158,1.0,7.0,1288.75927734375,1563.11572265625,1993.40234375,18.0,611.0,0,0,Tt
275,21.205575,92.168996,6.502083391230894,6.585902718062922,6.69150655651826,1.0,6.0,1288.75927734375,1563.11572265625,1993.40234375,16.0,611.0,0,0,Tt
276,21.204968,92.169933,6.024962158013426,6.108781484845452,6.214385312844158,1.0,7.0,1288.75927734375,1563.11572265625,1993.40234375,20.0,611.0,0,0,Tt
277,21.20829,92.168843,6.024962158013426,6.108781484845452,6.214385312844158,1.0,7.0,1288.75927734375,1563.11572265625,1993.40234375,19.0,611.0,0,0,Tt
278,21.20652,92.167771,7.303715721620338,7.387535048452366,7.493138884148376,1.0,1.0,1288.75927734375,1563.11572265625,1993.40234375,13.892037391662598,611.0,0,0,Tt
279,21.206757,92.170182,6.502083391230894,6.585902718062922,6.69150655651826,1.0,6.0,1288.75927734375,1563.11572265625,1993.40234375,21.07076072692871,611.0,0,0,Tt
280,21.206088,92.168877,7.32599214077609,7.409811467608118,7.059483329189356,1.0,6.0,1288.75927734375,1563.11572265625,1993.40234375,14.070759773254396,611.0,0,0,Tt
281,21.207401,92.169327,6.325992153677406,6.409811480509434,6.515415308508138,1.0,6.0,1288.75927734375,1563.11572265625,1993.40234375,18.0,611.0,0,1,Tt
282,21.207163,92.169011,6.928052112752078,7.011871439584104,7.117475266699418,1.0,6.0,1288.75927734375,1563.11572265625,1993.40234375,16.0,611.0,0,0,Tt
283,21.201516,92.169031,6.723932149448128,6.807751476280156,6.913355297298166,1.0,6.0,1288.75927734375,1563.11572265625,1993.40234375,6.0,459.0,0,0,Tt
284,21.202932,92.16946,6.024962158013426,6.108781484845452,6.214385312844158,2.0,5.0,1288.75927734375,1563.11572265625,1993.40234375,17.0,459.0,0,0,Tt
285,21.20284,92.168037,6.97920463161576,7.011871439584104,7.117475266699418,1.0,4.0,1288.75927734375,1563.11572265625,1993.40234375,8.0,459.0,0,0,Tt
286,21.202322,92.167337,6.024962158013426,6.409811480509434,6.515415308508138,2.0,2.0,1288.75927734375,1563.11572265625,1993.40234375,6.0,459.0,0,0,Tt
287,21.203401,92.164055,6.024962158013426,6.108781484845452,6.214385312844158,1.0,1.0,1288.75927734375,1563.11572265625,1993.40234375,15.070759773254396,459.0,0,0,Tt
288,21.203154,92.165311,6.325992153677406,6.409811480509434,6.515415308508138,1.0,2.0,1288.75927734375,1563.11572265625,1993.40234375,14.0,459.0,0,1,Tt
289,21.202914,92.164284,6.325992153677406,6.409811480509434,6.515415308508138,1.0,0.0,1288.75927734375,1563.11572265625,1993.40234375,16.0,459.0,0,0,Tt
290,21.201093,92.165023,6.325992153677406,6.409811480509434,6.515415308508138,2.0,2.0,1288.75927734375,1563.11572265625,1993.40234375,6.0,459.0,0,0,Tt
291,21.202298,92.16478900000001,6.024962158013426,6.710841476173416,6.81644530417212,1.0,3.0,1288.75927734375,1563.11572265625,1993.40234375,16.07076072692871,459.0,0,0,Tt
293,21.201035,92.16360700000001,6.35282222738114,6.830817264527166,6.932290723750316,2.0,4.0,1370.8876953125,1648.37841796875,2082.238037109375,10.0,459.0,0,1,Tt
296,21.20376,92.164778,6.627022149341388,6.710841476173416,6.81644530417212,1.0,2.0,1288.75927734375,1563.11572265625,1993.40234375,14.0,459.0,0,0,Tt
594,21.197768,92.166768,6.024962158013426,6.108781484845452,6.214385312844158,1.0,0.0,1288.75927734375,1563.11572265625,1993.40234375,15.0,459.0,0,0,Tt
