Landslide_,Latitude,Longitude,Flow_accum,Flow_acc_1,Flow_acc_2,Slope_clas,Flow_direc,Runoff_10y,Runoff_20y,Runoff_50y,Fill_sinks,Basins,Landslid_1,intersects,GLG
"179",21.210809000000001,92.154904000000002,6.339278468367474,6.597331821744598,6.700895646731704,2.000000000000000,6.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,17.100070953369141,767.000000000000000,"0","0",QTg
"180",21.210443000000001,92.154625999999993,6.515369705920962,6.597331821744598,6.700895646731704,1.000000000000000,4.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,17.070760726928711,767.000000000000000,"0","0",QTg
"181",21.209555000000002,92.153164000000004,8.033883654920992,8.115845770744627,6.700895646731704,1.000000000000000,7.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,10.753295898437500,767.000000000000000,"0","0",QTg
"182",21.209555000000002,92.155839999999998,7.745818645006924,7.827780760830560,7.886532234972914,1.000000000000000,4.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,16.000000000000000,767.000000000000000,"0","1",QTg
"183",21.207865999999999,92.155360000000002,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,2.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,16.000000000000000,767.000000000000000,"0","0",QTg
"184",21.209019999999999,92.163770000000000,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,4.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,20.000000000000000,767.000000000000000,"0","1",QTg
"185",21.208134999999999,92.163634000000002,7.582316511524632,7.664278627348270,7.767842473422866,1.000000000000000,6.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,17.050035476684570,767.000000000000000,"0","0",QTg
"186",21.208888000000002,92.162976000000000,6.816399701584942,6.898361817408580,7.001925642395684,1.000000000000000,4.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,19.000000000000000,767.000000000000000,"0","1",QTg
"187",21.208437000000000,92.162496000000004,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,6.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,16.000000000000000,767.000000000000000,"0","0",QTg
"188",21.208860000000001,92.161833999999999,6.339278468367474,7.023300575519072,7.126864411431966,1.000000000000000,4.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,15.000000000000000,767.000000000000000,"0","1",QTg
"189",21.209982000000000,92.162374000000000,6.816399701584942,6.898361817408580,7.001925642395684,1.000000000000000,4.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,18.000000000000000,767.000000000000000,"0","0",QTg
"190",21.207062000000001,92.159661999999997,6.992490974975420,7.074453090799056,7.178016930276238,1.000000000000000,6.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,13.045698165893556,767.000000000000000,"0","0",QTg
"191",21.208444000000000,92.159246999999993,6.339278468367474,6.421240584191110,6.524804420104004,1.000000000000000,2.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,19.000000000000000,767.000000000000000,"0","0",QTg
"192",21.210804000000000,92.159851000000003,7.038248459802176,7.120210575625814,7.223774417954426,1.000000000000000,1.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,15.220863342285156,778.000000000000000,"0","0",QTg
